"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000256235",40.8819043287157,-3.11423002201361,0.860160423041047,-3.62052233350081,0.000294008869933698,0.119962789880996
"ENSG00000171714",122.119588584817,-2.59832879976044,0.71932861255432,-3.61215827427443,0.000303659125491863,0.120950321675081
"ENSG00000115756",549.866145564534,-1.41369375859861,0.398379544397398,-3.54861031014284,0.000387269748453543,0.127032071017242
"ENSG00000168542",555.675949758553,-2.50571436004658,0.704831715106227,-3.55505336428986,0.000377902382031818,0.127032071017242
"ENSG00000248587",296.980594937289,-2.99513161392516,0.839363221005237,-3.56833792447819,0.000359252974204787,0.127032071017242
"ENSG00000233822",123.141347346824,2.51113645631239,0.700996076075009,3.58224038909413,0.000340660094973191,0.127032071017242
"ENSG00000164530",21.8849622663397,-3.8108614962141,1.07371752585966,-3.54922165693717,0.000386371698081101,0.127032071017242
"ENSG00000135298",13.1668742424815,3.13294865417269,0.877772725428782,3.56920255484388,0.000358069504450029,0.127032071017242
"ENSG00000146555",668.108031169251,1.75902320916935,0.49367528903546,3.5631177987582,0.00036647612402689,0.127032071017242
"ENSG00000137571",151.576845217108,3.10687384433991,0.86626631265047,3.58651121366358,0.000335131659252587,0.127032071017242
"ENSG00000281383",28.9835513528554,2.6356366501398,0.740913356179453,3.55728052161262,0.000374713945442002,0.127032071017242
"ENSG00000080546",478.062641271135,-1.73562423581085,0.492597399802085,-3.52341331177994,0.000426026435733141,0.134610515395608
"ENSG00000125845",11.2271399821525,3.03868668130136,0.862493943509929,3.52313973236194,0.000426466454418507,0.134610515395608
"ENSG00000180777",168.385224810446,-3.20954118465791,0.913477614535946,-3.51354114603933,0.000442175924394103,0.136984463688684
"ENSG00000198833",698.063926552712,-1.4511762430069,0.41439130262874,-3.50194667166322,0.000461872055318503,0.139785641458448
"ENSG00000104324",121.518478218409,-2.08163071363523,0.595011153075113,-3.49847343680371,0.00046792969822901,0.139785641458448
